Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,237.560780,-123.059260,180.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.192140,-120.333840,270.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,259.473360,-120.361780,90.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,189.931720,-120.333840,270.000000,bottom
C5,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,222.432540,-120.333840,270.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,246.232340,-117.768440,0.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,265.546500,-115.633460,90.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,267.852820,-115.627220,90.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,244.942020,-120.831680,90.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,241.627320,-123.059260,180.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,247.382960,-121.202520,270.000000,bottom
RN1,100K,R_Array_Convex_4x0603,261.855720,-115.688180,90.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,239.821380,-119.193380,90.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,253.402760,-120.719920,0.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,163.209900,-120.303360,0.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,197.555780,-120.303360,0.000000,bottom
U7,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,229.587720,-120.303360,0.000000,bottom
