Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,131.210780,2.840740,0.000000,bottom
C2,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,48.842140,5.566160,270.000000,bottom
C3,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.123360,5.538220,90.000000,bottom
C4,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,83.581720,5.566160,270.000000,bottom
C5,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.082540,5.566160,270.000000,bottom
C6,0U1,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,139.882340,8.131560,180.000000,bottom
R1,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,155.473360,5.538220,90.000000,bottom
R2,1K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,157.823360,5.538220,90.000000,bottom
R3,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,138.592020,5.068320,90.000000,bottom
R4,20K,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,135.277320,2.840740,0.000000,bottom
R5,4K7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,141.032960,4.697480,270.000000,bottom
R9,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,156.750000,10.150000,90.000000,bottom
R10,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,154.400000,10.150000,90.000000,bottom
R11,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,159.100000,10.150000,90.000000,bottom
R12,100k 1%,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161.450000,10.150000,90.000000,bottom
U1,MCP4921-E,SOIC-8_3.9x4.9mm_P1.27mm,133.471380,6.706620,90.000000,bottom
U2,LM339A,SOIC-14_3.9x8.7mm_P1.27mm,147.052760,5.180080,180.000000,bottom
U3,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,56.859900,5.596640,180.000000,bottom
U4,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,91.205780,5.596640,180.000000,bottom
U7,74AHC595,SOIC-16_3.9x9.9mm_P1.27mm,123.237720,5.596640,180.000000,bottom
